R,G,B,y
28,16,150,0
1,1,1,0
246,246,246,0
229,13,0,1
238,10,7,1
36,23,155,0
1,1,1,0
245,245,247,0
231,10,1,1
238,10,7,1
44,28,160,0
1,1,1,0
245,245,247,0
232,9,2,1
238,10,7,1
59,42,170,0
1,1,1,0
245,245,247,0
233,8,4,1
238,10,7,1
56,41,160,0
1,1,1,0
245,245,247,0
239,11,10,1
35,22,130,0
1,1,1,0
245,245,247,0
234,10,8,1
238,10,9,1
23,12,106,0
1,1,1,0
245,245,247,0
233,11,10,1
235,11,11,1
17,9,86,0
1,1,1,0
245,245,247,0
231,13,11,1
233,13,13,1
8,2,64,0
1,1,1,0
245,245,247,0
231,19,15,1
229,15,15,1
10,6,56,0
1,1,1,0
243,243,243,0
230,20,21,1
10,10,48,0
1,1,1,0
243,243,243,0
219,18,10,1
239,33,35,1
6,11,41,0
1,1,1,0
243,243,243,0
219,32,13,1
246,48,47,1
5,13,36,0
1,1,1,0
243,243,243,0
215,51,14,1
241,58,52,1
6,12,36,0
1,1,1,0
242,242,242,0
227,87,34,1
232,59,52,1
7,12,32,0
1,1,1,0
242,242,242,0
85,27,7,1
34,13,44,0
18,18,18,0
249,249,249,0
207,158,153,1
93,32,11,1
33,13,48,0
13,13,13,0
249,249,249,0
209,166,160,1
101,41,17,1
31,13,53,0
12,12,12,0
249,249,249,0
210,173,167,1
105,43,18,1
30,13,58,0
14,14,14,0
249,249,249,0
213,178,174,1
107,43,15,1
28,14,67,0
12,12,12,0
249,249,249,0
110,44,12,1
28,14,73,0
9,9,9,0
249,249,249,0
222,192,190,1
119,46,13,1
26,16,79,0
6,6,6,0
249,249,249,0
224,200,198,1
126,48,12,1
27,17,88,0
5,5,5,0
249,249,249,0
225,205,204,1
129,41,5,1
28,20,97,0
5,5,5,0
249,249,249,0
225,209,209,1
138,38,2,1
29,20,103,0
5,5,5,0
249,249,249,0
150,36,0,1
27,19,105,0
4,4,4,0
249,249,249,0
225,210,213,1
164,31,0,1
24,18,108,0
3,3,3,0
249,249,249,0
228,211,217,1
184,35,5,1
24,17,112,0
2,2,2,0
249,249,249,0
231,210,217,1
197,31,5,1
23,17,113,0
2,2,2,0
249,249,249,0
234,206,218,1
211,32,9,1
21,17,114,0
1,1,1,0
249,249,249,0
221,32,10,1
22,18,113,0
1,1,1,0
249,249,249,0
229,193,207,1
223,27,5,1
22,18,113,0
1,1,1,0
249,249,249,0
227,185,197,1
226,25,5,1
19,18,111,0
1,1,1,0
249,249,249,0
229,178,187,1
225,23,3,1
18,16,113,0
1,1,1,0
248,248,248,0
230,169,176,1
226,21,2,1
17,15,116,0
1,1,1,0
248,248,248,0
225,18,0,1
17,13,124,0
1,1,1,0
247,247,247,0
235,155,164,1
226,16,0,1
17,13,136,0
1,1,1,0
247,247,247,0
239,152,160,1
228,15,0,1
20,14,150,0
1,1,1,0
246,246,246,0
239,144,148,1
230,14,1,1
20,15,161,0
1,1,1,0
246,246,246,0
232,127,131,1
231,13,1,1
22,15,171,0
1,1,1,0
246,246,246,0
232,11,2,1
21,13,176,0
1,1,1,0
246,246,246,0
221,87,88,1
233,12,4,1
19,11,174,0
1,1,1,0
246,246,246,0
215,67,67,1
235,12,5,1
18,10,173,0
1,1,1,0
246,246,246,0
214,55,52,1
235,12,7,1
18,10,171,0
1,1,1,0
246,246,246,0
216,47,44,1
235,12,7,1
18,13,168,0
1,1,1,0
246,246,246,0
235,11,9,1
15,10,164,0
1,1,1,0
246,246,246,0
212,25,20,1
237,13,11,1
16,11,163,0
1,1,1,0
246,246,246,0
217,19,16,1
237,12,10,1
17,13,160,0
1,1,1,0
246,246,246,0
221,13,11,1
237,12,10,1
19,14,160,0
1,1,1,0
246,246,246,0
226,12,14,1
237,12,10,1
22,14,159,0
1,1,1,0
246,246,246,0
237,12,10,1
25,16,159,0
1,1,1,0
246,246,246,0
228,12,13,1
239,11,8,1
32,21,162,0
1,1,1,0
245,245,247,0
226,12,12,1
239,11,8,1
37,26,165,0
1,1,1,0
245,245,247,0
223,9,9,1
241,12,9,1
48,36,172,0
1,1,1,0
245,245,247,0
221,7,7,1
241,12,9,1
45,34,162,0
1,1,1,0
245,245,247,0
241,11,11,1
28,19,136,0
1,1,1,0
245,245,247,0
222,7,5,1
240,12,11,1
18,11,117,0
1,1,1,0
245,245,247,0
225,7,6,1
238,12,13,1
12,7,99,0
1,1,1,0
245,245,247,0
227,9,8,1
237,14,15,1
6,3,82,0
1,1,1,0
245,245,247,0
230,12,10,1
235,17,18,1
6,7,74,0
1,1,1,0
243,243,243,0
234,20,20,1
6,8,65,0
1,1,1,0
243,243,243,0
233,20,14,1
234,21,23,1
5,12,58,0
1,1,1,0
243,243,243,0
234,23,16,1
229,23,23,1
4,12,51,0
1,1,1,0
243,243,243,0
235,24,17,1
228,29,26,1
6,12,48,0
1,1,1,0
242,242,242,0
233,24,17,1
237,45,42,1
8,11,44,0
1,1,1,0
242,242,242,0
72,19,5,1
40,15,37,0
20,20,20,0
249,249,249,0
228,24,13,1
78,22,7,1
39,15,41,0
15,15,15,0
249,249,249,0
229,22,14,1
84,28,11,1
37,13,45,0
12,12,12,0
249,249,249,0
230,21,14,1
89,32,13,1
34,14,51,0
14,14,14,0
249,249,249,0
232,20,16,1
93,35,13,1
32,14,56,0
13,13,13,0
249,249,249,0
99,37,12,1
31,15,62,0
11,11,11,0
249,249,249,0
231,17,9,1
106,41,11,1
28,14,67,0
8,8,8,0
249,249,249,0
230,18,7,1
114,44,10,1
27,16,76,0
6,6,6,0
249,249,249,0
231,19,7,1
122,42,7,1
29,18,84,0
5,5,5,0
249,249,249,0
229,17,3,1
131,39,2,1
29,19,92,0
5,5,5,0
249,249,249,0
143,35,0,1
28,19,98,0
4,4,4,0
249,249,249,0
228,18,1,1
155,31,0,1
26,18,103,0
3,3,3,0
249,249,249,0
230,20,5,1
178,35,3,1
26,17,106,0
2,2,2,0
249,249,249,0
234,24,9,1
193,36,5,1
24,17,110,0
2,2,2,0
249,249,249,0
236,26,13,1
208,39,10,1
23,17,113,0
1,1,1,0
249,249,249,0
220,39,12,1
22,18,115,0
1,1,1,0
249,249,249,0
240,30,17,1
225,35,9,1
22,18,113,0
1,1,1,0
249,249,249,0
235,27,14,1
228,32,6,1
22,18,113,0
1,1,1,0
249,249,249,0
231,28,11,1
227,28,5,1
19,18,112,0
1,1,1,0
248,248,248,0
230,31,12,1
225,25,0,1
18,16,115,0
1,1,1,0
248,248,248,0
224,22,0,1
19,16,123,0
1,1,1,0
247,247,247,0
227,37,15,1
225,20,0,1
19,14,132,0
1,1,1,0
247,247,247,0
224,38,13,1
227,21,0,1
20,15,143,0
1,1,1,0
246,246,246,0
219,41,13,1
230,19,2,1
21,14,152,0
1,1,1,0
246,246,246,0
232,65,31,1
231,18,2,1
21,13,161,0
1,1,1,0
246,246,246,0
231,15,2,1
18,11,166,0
1,1,1,0
246,246,246,0
244,103,60,1
232,14,4,1
17,10,166,0
1,1,1,0
246,246,246,0
253,116,72,1
233,15,6,1
17,10,168,0
1,1,1,0
246,246,246,0
252,109,67,1
235,14,6,1
17,10,168,0
1,1,1,0
246,246,246,0
254,102,61,1
234,12,7,1
18,11,169,0
1,1,1,0
246,246,246,0
234,12,9,1
15,11,168,0
1,1,1,0
246,246,246,0
235,61,27,1
235,13,10,1
16,12,169,0
1,1,1,0
246,246,246,0
223,39,11,1
235,13,10,1
17,13,168,0
1,1,1,0
246,246,246,0
221,33,6,1
235,13,10,1
19,14,168,0
1,1,1,0
246,246,246,0
217,26,0,1
236,12,10,1
20,14,166,0
1,1,1,0
246,246,246,0
236,13,8,1
24,15,166,0
1,1,1,0
246,246,246,0
218,15,0,1
237,12,8,1
28,20,168,0
1,1,1,0
245,245,247,0
224,14,1,1
239,11,8,1
31,23,168,0
1,1,1,0
245,245,247,0
229,12,3,1
241,12,9,1
36,29,169,0
1,1,1,0
245,245,247,0
232,10,5,1
241,12,9,1
34,28,162,0
1,1,1,0
245,245,247,0
241,11,11,1
22,17,143,0
1,1,1,0
245,245,247,0
233,9,7,1
241,11,11,1
15,12,127,0
1,1,1,0
245,245,247,0
232,10,9,1
240,12,13,1
10,9,113,0
1,1,1,0
245,245,247,0
231,12,10,1
238,14,14,1
4,7,102,0
1,1,1,0
245,245,247,0
232,17,14,1
238,15,16,1
5,9,96,0
1,1,1,0
243,243,243,0
237,19,20,1
4,10,86,0
1,1,1,0
243,243,243,0
224,15,10,1
236,20,23,1
6,11,75,0
1,1,1,0
243,243,243,0
224,24,11,1
234,21,23,1
7,12,68,0
1,1,1,0
243,243,243,0
216,35,8,1
232,22,23,1
8,11,62,0
1,1,1,0
242,242,242,0
218,56,17,1
239,37,37,1
10,11,57,0
1,1,1,0
242,242,242,0
61,10,6,1
44,16,28,0
23,23,23,0
249,249,249,0
201,148,142,1
63,12,8,1
43,16,31,0
17,17,17,0
249,249,249,0
205,156,151,1
69,16,8,1
40,15,36,0
14,14,14,0
249,249,249,0
209,164,159,1
73,19,7,1
37,14,40,0
14,14,14,0
249,249,249,0
213,169,166,1
80,22,8,1
34,15,45,0
13,13,13,0
249,249,249,0
89,26,8,1
32,16,52,0
11,11,11,0
249,249,249,0
217,183,181,1
96,30,6,1
30,15,56,0
9,9,9,0
249,249,249,0
220,190,190,1
105,31,4,1
29,15,64,0
7,7,7,0
249,249,249,0
220,196,196,1
124,41,11,1
28,17,73,0
5,5,5,0
249,249,249,0
222,202,203,1
131,38,5,1
28,18,81,0
4,4,4,0
249,249,249,0
143,35,0,1
28,18,89,0
3,3,3,0
249,249,249,0
223,207,210,1
153,30,0,1
27,19,96,0
3,3,3,0
249,249,249,0
222,205,211,1
176,38,2,1
26,17,98,0
2,2,2,0
249,249,249,0
226,205,212,1
194,41,9,1
25,16,105,0
2,2,2,0
249,249,249,0
232,206,217,1
211,46,14,1
23,17,113,0
1,1,1,0
249,249,249,0
221,46,15,1
23,17,115,0
1,1,1,0
249,249,249,0
231,197,211,1
228,43,13,1
22,18,113,0
1,1,1,0
249,249,249,0
227,189,200,1
230,39,10,1
22,18,113,0
1,1,1,0
249,249,249,0
226,183,192,1
229,35,8,1
22,18,113,0
1,1,1,0
248,248,248,0
226,175,182,1
227,32,4,1
22,18,115,0
1,1,1,0
248,248,248,0
227,29,3,1
19,17,118,0
1,1,1,0
247,247,247,0
230,158,169,1
228,28,3,1
20,17,124,0
1,1,1,0
246,246,246,0
232,152,161,1
230,28,4,1
19,14,132,0
1,1,1,0
246,246,246,0
237,147,156,1
233,27,6,1
18,13,139,0
1,1,1,0
246,246,246,0
235,139,143,1
232,23,3,1
18,12,148,0
1,1,1,0
246,246,246,0
231,20,3,1
18,11,153,0
1,1,1,0
246,246,246,0
228,108,110,1
230,17,3,1
18,10,158,0
1,1,1,0
246,246,246,0
216,84,82,1
230,16,5,1
19,10,163,0
1,1,1,0
246,246,246,0
207,63,62,1
232,15,6,1
19,9,166,0
1,1,1,0
246,246,246,0
208,55,50,1
233,15,6,1
17,10,168,0
1,1,1,0
246,246,246,0
233,14,8,1
16,11,173,0
1,1,1,0
246,246,246,0
213,36,30,1
233,14,8,1
15,13,176,0
1,1,1,0
246,246,246,0
218,26,23,1
233,14,8,1
16,14,177,0
1,1,1,0
246,246,246,0
219,17,15,1
233,14,8,1
19,14,176,0
1,1,1,0
246,246,246,0
222,12,13,1
235,13,8,1
20,14,174,0
1,1,1,0
246,246,246,0
236,13,8,1
23,16,174,0
1,1,1,0
246,246,246,0
226,12,12,1
237,12,8,1
25,18,173,0
1,1,1,0
245,245,247,0
225,11,11,1
239,12,6,1
27,21,171,0
1,1,1,0
245,244,249,0
223,9,9,1
240,11,6,1
27,22,166,0
1,1,1,0
245,244,249,0
222,8,8,1
240,11,6,1
26,22,159,0
1,1,1,0
245,244,249,0
240,11,8,1
19,18,148,0
1,1,1,0
245,245,247,0
224,9,7,1
240,11,8,1
14,14,138,0
1,1,1,0
245,245,247,0
226,8,7,1
239,11,10,1
10,13,128,0
1,1,1,0
245,245,247,0
226,8,7,1
238,12,13,1
6,12,122,0
1,1,1,0
245,245,247,0
227,9,7,1
239,15,16,1
4,13,118,0
1,1,1,0
243,243,243,0
239,16,17,1
4,13,108,0
1,1,1,0
243,243,243,0
230,15,10,1
239,19,21,1
7,12,94,0
1,1,1,0
243,243,243,0
232,19,13,1
238,19,23,1
10,12,86,0
1,1,1,0
243,243,243,0
233,20,14,1
233,18,23,1
11,12,79,0
1,1,1,0
242,242,242,0
233,22,15,1
237,28,33,1
11,11,71,0
1,1,1,0
242,242,242,0
61,7,7,1
46,16,24,0
28,28,28,0
249,249,249,0
229,22,12,1
63,9,9,1
44,17,26,0
20,20,20,0
249,249,249,0
232,21,14,1
67,9,7,1
43,15,29,0
14,14,14,0
249,249,249,0
234,19,14,1
72,11,6,1
39,15,31,0
13,13,13,0
249,249,249,0
237,18,16,1
80,13,5,1
38,15,35,0
13,13,13,0
249,249,249,0
88,16,4,1
36,16,41,0
12,12,12,0
249,249,249,0
234,15,11,1
96,19,1,1
35,16,46,0
10,10,10,0
249,249,249,0
233,16,7,1
105,20,0,1
32,16,53,0
8,8,8,0
249,249,249,0
229,15,4,1
122,30,5,1
32,16,61,0
6,6,6,0
249,249,249,0
228,16,2,1
134,30,1,1
30,17,70,0
4,4,4,0
249,249,249,0
146,31,0,1
29,17,79,0
3,3,3,0
249,249,249,0
227,17,0,1
157,28,0,1
29,18,87,0
3,3,3,0
249,249,249,0
228,18,3,1
180,37,3,1
27,16,92,0
2,2,2,0
249,249,249,0
227,20,4,1
197,43,9,1
25,16,97,0
2,2,2,0
249,249,249,0
229,21,8,1
214,49,17,1
24,18,106,0
1,1,1,0
249,249,249,0
225,50,19,1
24,17,110,0
1,1,1,0
249,249,249,0
232,26,12,1
232,47,17,1
24,19,111,0
1,1,1,0
249,249,249,0
233,30,15,1
235,44,15,1
24,19,111,0
1,1,1,0
249,249,249,0
232,33,14,1
235,41,13,1
24,19,113,0
1,1,1,0
248,248,248,0
227,30,11,1
232,38,10,1
23,19,114,0
1,1,1,0
248,248,248,0
231,36,8,1
21,17,114,0
1,1,1,0
247,247,247,0
230,35,15,1
230,35,7,1
20,15,117,0
1,1,1,0
246,246,246,0
228,36,13,1
233,33,7,1
18,12,120,0
1,1,1,0
246,246,246,0
225,39,14,1
234,32,8,1
16,12,125,0
1,1,1,0
246,246,246,0
229,54,23,1
234,30,6,1
16,10,132,0
1,1,1,0
246,246,246,0
231,26,5,1
16,11,140,0
1,1,1,0
246,246,246,0
233,85,45,1
232,22,5,1
18,11,149,0
1,1,1,0
246,246,246,0
237,96,51,1
230,20,5,1
20,12,159,0
1,1,1,0
246,246,246,0
240,97,53,1
233,19,8,1
20,11,162,0
1,1,1,0
246,246,246,0
247,100,57,1
233,19,8,1
18,11,167,0
1,1,1,0
246,246,246,0
232,18,8,1
17,12,176,0
1,1,1,0
246,246,246,0
254,87,51,1
232,18,8,1
16,13,180,0
1,1,1,0
246,246,246,0
243,70,36,1
231,17,9,1
18,15,182,0
1,1,1,0
246,246,246,0
233,56,23,1
232,15,8,1
18,15,180,0
1,1,1,0
246,246,246,0
218,39,9,1
233,14,8,1
20,15,179,0
1,1,1,0
246,246,246,0
234,12,7,1
21,16,178,0
1,1,1,0
246,246,248,0
212,20,0,1
235,12,5,1
23,19,178,0
1,1,1,0
245,245,247,0
218,17,0,1
236,11,5,1
24,21,174,0
1,1,1,0
245,244,249,0
224,13,2,1
238,11,5,1
19,17,163,0
1,1,1,0
245,244,249,0
228,10,1,1
239,10,5,1
19,18,158,0
1,1,1,0
245,244,249,0
239,10,7,1
16,16,150,0
1,1,1,0
245,245,247,0
233,8,6,1
238,10,7,1
11,14,143,0
1,1,1,0
245,245,247,0
233,9,9,1
238,10,9,1
9,13,138,0
1,1,1,0
245,245,247,0
232,10,9,1
237,12,10,1
7,13,135,0
1,1,1,0
245,245,247,0
232,13,11,1
237,13,13,1
5,14,133,0
1,1,1,0
243,243,243,0
239,15,16,1
4,12,123,0
1,1,1,0
243,243,243,0
230,12,10,1
240,17,18,1
8,12,111,0
1,1,1,0
243,243,243,0
227,18,11,1
239,19,21,1
11,13,100,0
1,1,1,0
243,243,243,0
222,27,9,1
235,19,24,1
10,11,93,0
1,1,1,0
242,242,242,0
216,38,10,1
234,23,29,1
11,11,83,0
1,1,1,0
242,242,242,0
64,2,3,1
46,16,26,0
26,24,25,0
249,249,251,0
189,135,125,1
69,3,5,1
46,16,28,0
22,20,21,0
249,249,251,0
201,146,143,1
75,5,5,1
46,16,28,0
18,16,17,0
249,249,251,0
207,156,153,1
81,6,3,1
46,16,28,0
15,13,14,0
249,249,251,0
213,163,162,1
88,7,3,1
44,16,30,0
14,12,13,0
248,248,248,0
97,8,0,1
43,16,33,0
14,12,13,0
248,248,248,0
214,174,174,1
107,11,0,1
41,16,37,0
12,10,11,0
248,248,248,0
213,179,180,1
115,12,0,1
39,16,42,0
8,6,7,0
248,248,248,0
214,185,187,1
126,15,0,1
36,17,49,0
6,4,5,0
248,248,248,0
216,191,194,1
140,20,0,1
33,16,58,0
7,5,6,0
248,248,248,0
156,24,0,1
30,16,69,0
5,5,5,0
248,248,248,0
215,196,200,1
166,25,0,1
27,16,76,0
2,2,2,0
248,248,248,0
215,196,202,1
189,34,4,1
27,16,85,0
3,1,2,0
248,248,248,0
217,194,202,1
203,38,8,1
28,18,91,0
2,0,1,0
248,248,248,0
223,196,205,1
218,45,15,1
28,20,97,0
1,1,1,0
248,248,248,0
228,47,18,1
27,20,100,0
1,1,1,0
248,248,248,0
232,196,208,1
236,46,20,1
26,18,103,0
0,1,3,0
248,248,248,0
228,192,202,1
239,45,18,1
26,17,106,0
0,1,3,0
248,248,248,0
223,188,194,1
238,44,17,1
23,16,111,0
1,1,3,0
248,248,248,0
222,181,187,1
237,43,16,1
23,16,112,0
1,1,3,0
248,248,248,0
236,42,14,1
23,16,112,0
2,0,3,0
247,247,247,0
228,162,172,1
235,40,12,1
22,16,114,0
2,0,3,0
247,247,247,0
225,152,161,1
233,38,10,1
20,14,114,0
2,0,1,0
247,247,247,0
229,148,155,1
234,36,9,1
18,13,116,0
2,0,1,0
247,247,247,0
233,144,150,1
236,36,10,1
17,11,119,0
2,0,1,0
247,247,247,0
234,34,9,1
16,11,127,0
2,0,1,0
247,247,247,0
224,118,120,1
234,30,6,1
18,12,138,0
1,1,0,0
247,247,249,0
216,101,98,1
232,27,6,1
19,11,148,0
1,1,0,0
247,247,249,0
206,81,77,1
234,24,7,1
21,12,157,0
1,1,1,0
246,246,248,0
204,67,61,1
234,24,9,1
22,13,166,0
1,1,1,0
246,246,248,0
234,22,10,1
19,11,174,0
1,1,1,0
246,246,248,0
216,51,45,1
232,20,8,1
19,13,181,0
1,1,1,0
246,246,248,0
223,40,36,1
231,19,8,1
20,14,182,0
0,0,0,0
246,246,248,0
225,30,28,1
231,17,7,1
18,15,182,0
0,0,0,0
246,246,248,0
227,19,19,1
232,15,6,1
17,16,182,0
0,0,0,0
246,246,248,0
232,14,5,1
16,15,179,0
0,0,0,0
246,246,248,0
226,13,15,1
235,12,5,1
15,17,179,0
0,0,0,0
245,245,247,0
224,11,13,1
236,11,5,1
16,19,174,0
0,0,0,0
245,245,247,0
223,11,10,1
238,11,5,1
16,17,167,0
0,0,0,0
245,245,247,0
222,10,9,1
238,11,5,1
15,18,161,0
0,0,0,0
245,245,247,0
237,10,4,1
14,18,154,0
1,1,1,0
245,245,247,0
224,9,7,1
237,10,4,1
13,16,149,0
1,1,1,0
245,245,247,0
225,7,6,1
237,9,6,1
11,14,147,0
1,1,1,0
245,245,247,0
225,7,6,1
236,11,9,1
10,13,144,0
1,1,1,0
245,245,247,0
227,8,6,1
236,12,10,1
8,13,143,0
1,1,1,0
243,243,245,0
238,14,14,1
8,12,135,0
1,1,1,0
243,243,245,0
229,11,9,1
240,16,16,1
9,11,120,0
1,1,1,0
243,243,245,0
229,14,11,1
238,18,18,1
10,12,112,0
1,1,1,0
243,243,245,0
229,16,10,1
238,24,26,1
11,12,105,0
1,1,1,0
242,242,244,0
228,17,10,1
235,25,28,1
10,12,97,0
1,1,1,0
242,242,244,0
74,0,0,1
47,15,26,0
32,30,31,0
249,249,251,0
231,20,11,1
80,0,0,1
47,15,26,0
21,19,20,0
249,249,251,0
234,19,14,1
89,1,0,1
48,15,26,0
16,14,15,0
249,249,251,0
240,18,15,1
97,3,1,1
48,15,26,0
15,13,14,0
249,249,251,0
241,15,16,1
106,4,0,1
48,15,26,0
14,12,13,0
248,248,248,0
115,6,1,1
47,15,28,0
14,12,13,0
248,248,248,0
237,13,11,1
126,9,0,1
44,16,31,0
12,10,11,0
248,248,248,0
236,15,7,1
135,11,0,1
43,16,35,0
8,6,7,0
248,248,248,0
231,15,4,1
147,15,0,1
40,16,42,0
7,5,6,0
248,248,248,0
229,16,2,1
159,20,1,1
37,16,49,0
7,5,6,0
248,248,248,0
174,25,3,1
32,15,57,0
5,5,5,0
248,248,248,0
227,18,0,1
184,25,3,1
30,16,67,0
2,2,2,0
248,248,248,0
225,18,0,1
201,31,8,1
30,16,75,0
3,1,2,0
248,248,248,0
224,19,2,1
209,30,7,1
28,18,81,0
2,0,1,0
248,248,248,0
224,18,4,1
221,35,12,1
29,18,84,0
2,0,1,0
248,248,248,0
230,38,15,1
28,18,87,0
1,1,1,0
248,248,248,0
224,23,7,1
235,39,17,1
28,17,93,0
0,1,3,0
248,248,248,0
225,28,11,1
236,40,16,1
26,17,98,0
0,1,3,0
248,248,248,0
225,30,10,1
238,42,18,1
26,16,105,0
1,1,3,0
248,248,248,0
220,28,7,1
240,44,18,1
25,16,107,0
1,1,3,0
248,248,248,0
239,45,17,1
24,15,108,0
2,0,3,0
247,247,247,0
229,32,13,1
239,45,17,1
22,15,108,0
2,0,3,0
247,247,247,0
233,34,13,1
239,44,14,1
22,15,108,0
4,0,1,0
247,247,247,0
230,35,13,1
238,43,13,1
20,15,109,0
4,0,1,0
247,247,247,0
230,45,17,1
237,42,12,1
19,13,111,0
2,0,1,0
247,247,247,0
238,40,13,1
18,12,118,0
2,0,1,0
247,247,247,0
223,67,27,1
236,36,10,1
17,10,126,0
1,1,0,0
247,247,249,0
221,76,32,1
234,32,8,1
16,10,136,0
1,1,0,0
247,247,249,0
228,85,41,1
234,29,8,1
21,11,146,0
1,1,1,0
246,246,248,0
235,90,45,1
233,28,7,1
23,14,159,0
1,1,1,0
246,246,248,0
232,25,7,1
21,12,167,0
1,1,1,0
246,246,248,0
253,96,55,1
232,22,7,1
19,13,175,0
1,1,1,0
246,246,248,0
255,91,53,1
232,22,9,1
19,14,178,0
0,0,0,0
246,246,248,0
245,77,40,1
231,19,8,1
17,14,179,0
0,0,0,0
246,246,248,0
227,59,23,1
230,16,6,1
16,15,181,0
0,0,0,0
246,246,248,0
232,14,5,1
14,15,181,0
0,0,0,0
246,246,248,0
210,29,2,1
234,13,5,1
14,17,180,0
0,0,0,0
245,245,247,0
212,22,0,1
235,12,5,1
15,19,178,0
0,0,0,0
245,245,247,0
218,15,1,1
236,11,5,1
15,18,171,0
0,0,0,0
245,245,247,0
224,10,0,1
238,11,5,1
14,19,165,0
0,0,0,0
245,245,247,0
236,9,3,1
15,18,161,0
1,1,1,0
245,245,247,0
233,8,4,1
234,9,3,1
13,16,155,0
1,1,1,0
245,245,247,0
235,10,8,1
234,9,5,1
12,14,151,0
1,1,1,0
245,245,247,0
232,8,6,1
234,11,6,1
10,12,147,0
1,1,1,0
245,245,247,0
233,11,8,1
235,11,9,1
9,11,146,0
1,1,1,0
243,243,245,0
237,13,11,1
10,11,138,0
1,1,1,0
243,243,245,0
233,11,8,1
239,15,15,1
9,10,126,0
1,1,1,0
243,243,245,0
232,15,10,1
237,18,16,1
10,11,117,0
1,1,1,0
243,243,245,0
224,20,11,1
238,24,22,1
9,11,111,0
1,1,1,0
242,242,244,0
217,27,13,1
237,25,24,1
8,11,104,0
1,1,1,0
242,242,244,0
98,0,0,1
49,16,25,0
28,28,28,0
249,249,251,0
184,121,112,1
106,1,0,1
49,16,25,0
18,18,18,0
249,249,251,0
195,132,127,1
116,4,2,1
51,15,27,0
14,14,14,0
249,249,251,0
205,144,143,1
125,7,5,1
51,15,27,0
15,15,15,0
249,249,251,0
213,155,154,1
134,9,5,1
50,14,28,0
13,13,13,0
248,248,248,0
146,13,8,1
48,14,28,0
13,13,13,0
248,248,248,0
213,165,165,1
155,16,9,1
47,14,31,0
11,11,11,0
248,248,248,0
210,168,169,1
165,18,10,1
44,15,33,0
7,7,7,0
248,248,248,0
210,174,176,1
178,24,12,1
41,16,38,0
6,6,6,0
248,248,248,0
212,180,183,1
186,24,11,1
38,15,43,0
6,6,6,0
248,248,248,0
196,26,11,1
35,16,48,0
5,5,5,0
248,248,248,0
214,187,192,1
203,23,8,1
32,16,53,0
2,2,2,0
248,248,248,0
216,191,197,1
215,25,9,1
32,16,61,0
3,1,2,0
248,248,248,0
217,190,197,1
217,20,4,1
29,17,67,0
2,0,1,0
248,248,248,0
219,189,197,1
228,22,8,1
28,15,71,0
2,0,1,0
248,248,248,0
235,28,12,1
27,15,77,0
1,1,1,0
248,248,248,0
225,189,199,1
232,29,12,1
27,16,84,0
0,2,1,0
248,248,248,0
224,189,196,1
232,31,11,1
28,16,90,0
0,2,1,0
248,248,248,0
221,190,195,1
235,35,12,1
28,15,94,0
1,1,3,0
248,248,248,0
219,184,188,1
236,38,12,1
27,15,97,0
1,1,3,0
248,248,248,0
237,42,14,1
27,15,99,0
2,0,1,0
247,247,247,0
223,166,175,1
239,44,16,1
25,16,99,0
2,0,1,0
247,247,247,0
221,155,165,1
240,47,16,1
25,15,101,0
2,0,1,0
247,247,247,0
224,151,160,1
241,48,17,1
24,16,102,0
2,0,1,0
247,247,247,0
227,148,154,1
238,45,14,1
21,14,107,0
2,0,1,0
247,247,247,0
239,44,14,1
17,11,109,0
2,0,1,0
247,247,247,0
220,126,127,1
238,43,13,1
15,8,114,0
1,1,0,0
247,247,249,0
221,117,114,1
237,39,12,1
14,7,121,0
1,1,0,0
247,247,249,0
213,100,94,1
236,36,10,1
19,9,132,0
1,1,1,0
246,246,248,0
207,80,73,1
236,34,10,1
22,12,143,0
1,1,1,0
246,246,248,0
236,32,8,1
18,11,151,0
1,1,1,0
246,246,248,0
218,60,51,1
234,29,8,1
17,11,159,0
1,1,1,0
246,246,248,0
224,50,43,1
233,23,8,1
17,12,164,0
0,0,0,0
246,246,248,0
230,41,37,1
232,20,8,1
15,14,170,0
0,0,0,0
246,246,248,0
229,27,25,1
230,16,5,1
15,15,175,0
0,0,0,0
246,246,248,0
231,13,3,1
14,16,179,0
0,0,0,0
246,246,248,0
224,16,16,1
233,12,3,1
14,17,180,0
0,0,0,0
245,245,247,0
222,12,11,1
235,12,4,1
14,18,179,0
0,0,0,0
245,245,247,0
222,10,9,1
236,12,4,1
15,17,177,0
0,0,0,0
245,245,247,0
222,8,6,1
236,12,4,1
14,17,170,0
0,0,0,0
245,245,247,0
234,10,2,1
15,17,164,0
1,1,1,0
245,245,247,0
223,5,4,1
234,10,2,1
13,16,159,0
1,1,1,0
245,245,247,0
223,5,4,1
234,9,3,1
12,13,153,0
1,1,1,0
245,245,247,0
225,5,5,1
233,10,3,1
10,12,147,0
1,1,1,0
245,245,247,0
227,8,6,1
234,11,6,1
8,10,145,0
1,1,1,0
243,243,245,0
235,13,8,1
8,9,136,0
1,1,1,0
243,243,245,0
228,10,8,1
237,15,12,1
9,11,122,0
1,1,1,0
243,243,245,0
226,11,8,1
239,17,14,1
9,12,115,0
1,1,1,0
243,243,245,0
227,12,9,1
236,18,16,1
8,12,112,0
1,1,1,0
242,242,244,0
226,13,7,1
236,21,18,1
7,11,111,0
